Item #,Description,Link,Unit Quantity,Unit Price,Price,,
1,Nema 17,https://www.amazon.com/STEPPERONLINE-Stepper-Bipolar-Connector-compatible/dp/B00PNEQKC0/ref=sr_1_3?crid=QITGUAMUN204&dib=eyJ2IjoiMSJ9.hN-9QQUUabt-Xybqh_2hec-ybclc74rcWQq9RQ-ijSUq-C92CrRrx54K5lQ759GK5oajdgUK1JpCg-V2kdytfMTjE5ebD08zKeGA9-ku-FV071l_czksLXfSBOmApsnrDYmjapLP134TG1n3ouzp-H_B8VNg4CBnzTCrZv9XY_d8Ydo0194haVow4-4Pv8sqjLUkiYwJbEIWDtor_o7bAFWsQdx5MfC0jjvRHqLuApM.fzD7fvYVLCRce4-WStiSD29cb-wa0_nMr3oyoGJ67is&dib_tag=se&keywords=nema+17&qid=1747295736&sprefix=nema+23%2Caps%2C210&sr=8-3,1,$19.99,$19.99,,Total Price
2,DM556Y Stepper Driver,https://www.amazon.com/STEPPERONLINE-Digital-Stepper-1-7-5-6A-20-50VDC/dp/B082CWMTV2/ref=sr_1_3?crid=1LKNQQFW2WZ9N&dib=eyJ2IjoiMSJ9.L97y8ZjKDjZhvCLb2PC3n1-1VvKVy67q1ZOBLXkXrYhRlUMwEqWDwOYad5Whzis3PZ_wZGVjGzT1jfCyvCSwL9Cd1EuePm9BW3pZJ1neGCyYvHLp33QKEgRvtAUMKYLntHgR4ffVgWPI3eRpoG0j9G1Gzby6mPEyW6Xf2yXxOGj3OOiLj_SBE8qePkuAnhkVA4PWNhX-ut9N8CSTmBcPrLUQB_K2_GQSYFPNFoI8zs8.p0fpoBJiyE0W_N6f8wziHoCHTL4gIUjFPvpL6xvdh9o&dib_tag=se&keywords=dm556y+stepper+motor&qid=1752179313&sprefix=dm556y+stepper+motor%2Caps%2C166&sr=8-3,1,$25.19,$25.19,,$134.51
3,20x4 LCD Display,https://www.amazon.com/Hosyond-Module-Display-Arduino-Raspberry/dp/B0C1G9GBRZ/ref=sr_1_3?crid=5X99KPDU6GYG&dib=eyJ2IjoiMSJ9.2lz6TVDHOnURyN6PD3nR63UekvHa2xqrvr_bwy4BrKJDHo7iM5REWwiYdWSv_ofJJ8dee4hK0GDBVCzNUpFzaPEk2aI02XaS3fOBKkQhju82pKnbnArQ0XJkKmARUD03AimPs3MiaXScAl2b_tvj5QWLEVud6Yuzghwbexv5z-9J5hTYJRc2WCNFnisN3yHPHAHmXyaP5SDJPNggQK3garxcELIeA2phfPRIjnZWHz0.OosmkIa5EzliA3gsmfS0SsR95_0qqOdwkUyauPHfj-c&dib_tag=se&keywords=hosyong%2B20x4%2Blcd&qid=1752179338&sprefix=hosyong%2B20x4%2Blc%2Caps%2C158&sr=8-3&th=1,1,$5.67,$5.67,,
4,Rotary Encoder,https://www.amazon.com/WGCD-KY-040-Degree-Encoder-Arduino/dp/B07B68H6R8/ref=sr_1_4?crid=2HLHPJDLSFUZG&dib=eyJ2IjoiMSJ9.561HXmjsvo5F8O9BqiyjaSi-8obSRX9raeAnvJo4oFxFqxPiaJzixFq_nVz0qKDa_nfE0QRtnuhmv7pKADdjCvsXYEXLLzgB4PwuElRt_pjrppSt2XfGYyLvLJicL5Gn1QkS29XaZ_FtznEy-M9I9p-3KghRQ5lifU_vVb-opa6F4OupSDKg-DqTC79u7hKM.V9zwl0uA-dhFOa_3OTLIBquMGZqxolKZ185eIfRa0Gc&dib_tag=se&keywords=arduino+dial&qid=1747295921&sprefix=arduino+dial%2Caps%2C210&sr=8-4,2,$1.56,$3.12,,
5,24v to 5v Buck Converter,https://www.digikey.com/en/products/detail/pololu/2858/10451183,1,$18.95,$18.95,,
6,300mmx8mm Carbon Fiber Rod,https://www.amazon.com/FANCYWING-400MMX-1-0MM-Carbon-Airplane/dp/B0BJ1HZYZQ/ref=sr_1_1_sspa?sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,4,$4.40,$17.60,,
7,Timing Belt System,https://www.amazon.com/KeeYees-Timing-Tensioner-Torsion-Printer/dp/B07JKT5BZQ/ref=sr_1_15?sr=8-15,1,$14.99,$14.99,,
8,15mmx15mmx8mm Linear Bearing,https://www.amazon.com/RJ4JP-01-08-Bearing-Printer-Replacement-Diameter/dp/B099665RSK/ref=sr_1_5?sr=8-5,4,$1.46,$5.84,,
9,17mmx6mmx6mm Ceramic Bearing,https://www.amazon.com/gp/product/B0B5XN4FFV/ref=ewc_pr_img_1?smid=A1THAZDOWP300U&th=1,1,$1.64,$1.64,,
10,M4 Heat Set Insert,https://www.amazon.com/HANGLIFE-Heat-Set-Threaded-Printing-Components/dp/B0CS6XGMFD/ref=sr_1_3?crid=2HFEVNQQ46QFU&dib=eyJ2IjoiMSJ9.QMO0hQhAJy7JkDmQh_xQfK77nR_zOg_iAhdl_noTfKE7blVr6Ocdvs4-JVpcJQqy4Nqb9yr0dHHE76v_XcsJdhVb6Ph9zw_vDeMUIApQcWE4NBm7uOBV1PLctNeMMSIq3meTfLPmOH7Q0vn7haeUBPO9x-xkvHexxjxLtSk9EQwXfzlC9B3-0z58tllsM51Fp1Vuzx6UkOWelWWrG2Kg0EiBkSyhS4OyqwNHvNBs3Vg.YsIsTmQ6qgvGnRegHTTLVNMiDGu1Bv3YBJSCWIxNyrc&dib_tag=se&keywords=m4%2Bheat%2Bset%2Binserts&qid=1752179738&sprefix=m4%2Bheat%2Bset%2Binsert%2Caps%2C195&sr=8-3&th=1,30,$0.10,$3.00,,
11,20mm M4 Bolt,https://www.amazon.com/BNUOK-180pcs-Stainless-Threads-Spanner/dp/B0DYNJPYV7/ref=sr_1_7_sspa?dib=eyJ2IjoiMSJ9.eOw8QU4q53ylyi_LVys7JJgTyqqSiXSPcDBp1hsOnkBeT7NLo4xXEiiiaWKNLvcsqPi5wHklT_XQe-uUeSIhD0W9YS1eWxhiFgs90-aCU1av8_-huul6ZOZDBG0pk_BvNF2-8vKGM7pkgXqHS7iT7ihkSQ7qXGU0KpRc2gX8pKZASDN3nMpw8ZXfqBgF43gmVQEO9cCVYSr2pnXZm5M1ChogHgXIvK12yqK43IkIzfo.F-g3h_vUsIMaeMo_uO7xlXQAf_JNU8DrL0xbUxRj9Ws&dib_tag=se&keywords=m4%2Bx%2B20mm%2Bscrews&qid=1752179850&sr=8-7-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1,22,$0.07,$1.54,,
12,12mm M4 Bolt,https://www.amazon.com/Fullerkreg-Socket-Stainless-Machine-Quantity/dp/B07CJ7PTRS/ref=sr_1_1_sspa?crid=2FZSGKD6EQ93X&dib=eyJ2IjoiMSJ9.AxBJ8tA1wBuuBKTUnHiTHJWiPBbCjMqt1DusXOsFs8l6V6WLpS6QBGNuxgSltL2QjpA60roF9MIt6-AkCNrp2Q8mzkFBZI21byyhRhkdHKUM9EdgIC_baKq3rMS2zlAVLN20Wf6JaD51tOBIYI_rsppJ_UFPX9E6DlVtNaLhWJkAs1UIa3OwTtxXPdDOO_CAqqvhTU6Oh3ntBMX5wVXNQqV8JI2cPKmOcoB3AXQRzS0._PcvziesfDbTPEydxpkFDSvKTUiLO_tIsE68VqJ-xEo&dib_tag=se&keywords=12mm%2Bm4%2Bbolt&qid=1752179880&sprefix=12mm%2Bm4%2Bbol%2Caps%2C205&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,16,$0.11,$1.76,,
13,25mm Steel Dowel,https://www.amazon.com/ZDingTech-Support-Shelves-Rod-304-Stainless/dp/B0F28QSRGD/ref=sr_1_1?crid=24LZUMPSNGCIQ&dib=eyJ2IjoiMSJ9.wTevdsx5YLLbuhg8DqnJkQHlIsTcG1DlvoI89ZfsSM319yxaSDo6JIEEpXHwA--x_U-gg0JXQg5WnBR3PbwP5q4LCK2b-Rls8XZOWWwe5Br9NIxS6wXnuvxdasmaiyvzmYZ7zQ8CgyKXORp79LmrCSIRq_qz58apnrDdhqXKc45-GNlelQdjV67ZdMTH_Bezjp7FQ2_SYySVAjt8Gce1Gfwr0R0-wfJcgxHBd5END94.6odBiDLf4yVN8tTTwOobidpg4WIFkc8xm56meO_wjmQ&dib_tag=se&keywords=25mmx6mm%2Bsteel%2Bdowel&qid=1752180149&sprefix=25mmx6mm%2Bsteel%2Bdowel%2Caps%2C185&sr=8-1&th=1,1,$0.23,$0.23,,
14,1 kg PETG,https://www.amazon.com/Polymaker-PB01001-PolyLite-hitzebest%C3%A4ndig-Zugfestigkeit/dp/B09DKRTSXW/ref=sr_1_2_sspa?dib=eyJ2IjoiMSJ9.8iq_404r18Gj2oUT-2VWDl2sSQeMvvHtyi7h9Nbv8cSrDSmFmSIDeCq1SBThSTa8G1fqDmAogSatXLfK2U2tFCXPqg14PeJmeeZKXFtgw9tDB2OTFXc-p-ND2e8hOyDspcNpNNlWazlzx_JuOjmYw335p6u_UKZMJ5KGQxEokdfEeVs0K6HnvhTr5tKJ_OfwGfA8YA9EIksMqZnb0kGGJJKHecEZ6J8X_PqH0kZk_mXievAUieYQj_fSzXVwcuk5RD8DEabObW5eSgB6rxDSejzcfJtO74ryIvlKsnK8MK4.MFBS5K0Pb5HWwSbxWF8A5nA-lgjYS9TisDZhM3WVyyk&dib_tag=se&keywords=1kg+petg&qid=1752180240&s=industrial&sr=1-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,1,$15,$15,,
